Branch,Season,Type,Sample,Temp,Turbidity,Colour,pH,Alkalinity,Hardness,Iron,Ammonia,Chloride
Tripureshwor,Winter,Tube-well,Un-treated,17.50,1.20,0.39,8.60,299.00,84.00,2.70,5.66,53.63
Tripureshwor,Winter,Tube-well,Un-treated,19.60,1.90,1.36,6.90,244.00,93.00,3.00,4.31,53.41
Tripureshwor,Winter,Tube-well,Un-treated,20.10,13.70,11.23,8.70,266.00,94.00,3.10,3.98,62.11
Tripureshwor,Winter,Tube-well,Un-treated,18.10,2.10,1.32,8.80,239.00,96.00,2.00,3.48,63.01
Tripureshwor,Winter,Tube-well,Un-treated,18.90,1.40,1.32,6.50,301.00,91.00,0.40,12.16,53.33
Tripureshwor,Winter,Tube-well,Un-treated,17.90,3.10,2.34,6.90,321.00,86.00,0.90,14.86,71.20
Tripureshwor,Winter,Tube-well,Un-treated,19.10,2.10,1.23,7.80,309.00,126.00,0.30,19.03,61.02
Tripureshwor,Winter,Tube-well,Un-treated,19.10,1.10,0.87,8.60,189.00,318.00,2.20,12.61,56.01
Baneshwor,Winter,Tube-well,Un-treated,18.10,2.10,0.24,6.50,310.00,331.00,4.00,33.01,60.21
Baneshwor,Winter,Tube-well,Un-treated,19.10,2.90,0.34,8.50,351.00,163.00,3.40,21.08,51.31
Baneshwor,Winter,Tube-well,Un-treated,17.90,1.90,1.23,8.60,286.00,185.00,3.20,4.01,58.11
Baneshwor,Winter,Tube-well,Un-treated,20.10,2.10,0.18,8.70,199.00,90.00,4.10,10.06,47.21
Baneshwor,Winter,Tube-well,Un-treated,20.10,4.20,0.23,7.90,201.00,130.00,1.50,17.01,53.12
Baneshwor,Winter,Tube-well,Un-treated,21.30,10.20,1.23,5.50,203.00,171.00,0.50,19.02,56.42
Baneshwor,Winter,Tube-well,Un-treated,19.80,1.20,0.23,6.80,302.00,81.00,0.30,37.02,42.11
Baneshwor,Winter,Tube-well,Un-treated,18.90,2.10,1.23,8.30,109.00,123.00,3.20,31.02,43.19
Baneshwor,Winter,Tube-well,Un-treated,19.70,3.10,0.34,8.50,89.00,183.00,1.10,22.11,66.12
Baneshwor,Winter,Tube-well,Un-treated,20.10,1.10,1.22,8.60,119.00,156.00,0.30,26.09,73.12
Baneshwor,Winter,Tube-well,Un-treated,19.70,2.10,3.22,8.70,159.00,101.00,0.20,31.21,71.18
Baneshwor,Winter,Tube-well,Un-treated,20.10,2.50,1.23,5.90,136.00,61.00,0.40,36.02,69.12
Baneshwor,Winter,Tube-well,Un-treated,21.10,3.20,2.11,6.50,321.00,123.00,0.10,39.01,63.20
Baneshwor,Winter,Tube-well,Un-treated,20.10,1.10,0.98,6.30,310.00,139.00,0.90,40.12,63.11
Baneshwor,Winter,Tube-well,Un-treated,20.10,2.70,1.34,7.50,118.00,141.00,1.60,42.36,69.11
Bansbari,Winter,Tube-well,Un-treated,20.20,2.10,0.32,7.60,213.00,144.00,3.00,38.02,53.44
Bansbari,Winter,Tube-well,Un-treated,21.10,2.90,0.93,7.50,311.00,311.00,0.20,12.95,60.12
Bansbari,Winter,Tube-well,Un-treated,18.90,3.10,1.22,7.00,113.00,69.00,3.50,3.05,63.44
Bansbari,Winter,Tube-well,Un-treated,20.10,1.20,2.11,8.50,92.00,84.00,0.60,11.91,53.97
Bansbari,Winter,Tube-well,Un-treated,17.70,2.10,3.21,8.60,124.00,94.00,3.50,12.13,56.33
Bansbari,Winter,Tube-well,Un-treated,22.20,3.10,0.23,8.00,134.00,112.00,0.30,13.14,63.11
Bansbari,Winter,Tube-well,Un-treated,23.10,2.10,1.34,8.70,156.00,113.00,0.40,14.13,53.12
Bansbari,Winter,Tube-well,Un-treated,21.10,2.30,2.15,5.50,213.00,78.00,0.40,15.60,63.12
Bansbari,Winter,Tube-well,Un-treated,22.40,8.60,6.73,5.60,362.00,92.00,0.90,18.30,51.21
Bansbari,Winter,Tube-well,Un-treated,19.90,1.20,0.43,7.20,316.00,93.00,3.10,38.12,52.44
Bansbari,Winter,Tube-well,Un-treated,20.80,2.30,1.33,7.30,312.00,316.00,2.90,40.12,53.12
Bansbari,Winter,Tube-well,Un-treated,22.40,1.10,0.33,6.50,310.00,201.00,1.90,28.10,63.19
Bansbari,Winter,Tube-well,Un-treated,23.10,2.10,2.51,6.50,210.00,181.00,2.00,23.01,64.12
Bansbari,Winter,Tube-well,Un-treated,19.90,2.10,3.23,7.20,310.00,130.00,2.10,21.11,64.12
